destination,origin,number
Angola,Algeria,1
Argentina,Algeria,48
Argentina,Angola,11
Australia,Algeria,331
Australia,Angola,11
Austria,Algeria,5
Austria,Angola,17
Azerbaijan,Algeria,2
Belgium,Algeria,216
Belgium,Angola,338
Benin,Algeria,7
Benin,Angola,3
Botswana,Angola,742
Brazil,Algeria,7
Brazil,Angola,1579
Bulgaria,Algeria,13
Bulgaria,Angola,7
Burkina Faso,Algeria,5
Burkina Faso,Angola,2
Burkina Faso,Benin,1
Cambodia,Algeria,2
Canada,Algeria,2600
Canada,Angola,140
Canada,Benin,6
Central African Rep.,Angola,42
Chad,Angola,1
Chile,Angola,6
Colombia,Angola,3
Congo,Angola,18515
Côte d'Ivoire,Angola,5
Cyprus,Algeria,1
Czech Rep.,Angola,19
Dem. Rep. of the Congo,Angola,175420
Denmark,Algeria,51
Denmark,Angola,32
Denmark,Benin,2
Ecuador,Angola,1
Estonia,Algeria,2
Ethiopia,Angola,3
Finland,Algeria,43
Finland,Angola,94
France,Algeria,353
France,Angola,1545
Gabon,Angola,37
Ghana,Angola,1
Guatemala,Angola,1
Guinea,Algeria,2
Hungary,Algeria,18
Hungary,Angola,8
Iceland,Algeria,2
Indonesia,Algeria,2
Indonesia,Angola,1
Ireland,Algeria,25
Ireland,Angola,22
Italy,Algeria,51
Italy,Angola,81
Italy,Benin,3
Kazakhstan,Algeria,8
Lebanon,Algeria,46
Liberia,Algeria,1
Malta,Algeria,25
Mexico,Algeria,1
Mexico,Angola,9
Morocco,Algeria,26
Morocco,Angola,8
Namibia,Angola,27263
Netherlands,Algeria,317
Netherlands,Angola,2169
Netherlands,Benin,2
Nigeria,Angola,14
Nigeria,Benin,23
Norway,Algeria,86
Norway,Angola,11
Pakistan,Algeria,46
Panama,Algeria,1
Poland,Algeria,7
Poland,Angola,1
Portugal,Algeria,4
Portugal,Angola,16
Rep. of Korea,Algeria,4
Rep. of Moldova,Angola,1
Romania,Algeria,1
Romania,Angola,
Senegal,Algeria,9
Senegal,Angola,4
Slovakia,Algeria,2
Slovakia,Angola,22
South Africa,Angola,3897
Spain,Algeria,696
Spain,Angola,176
Swaziland,Angola,99
Sweden,Algeria,115
Sweden,Angola,112
Sweden,Benin,2
Switzerland,Algeria,186
Switzerland,Angola,1764
Switzerland,Benin,1
Syrian Arab Rep.,Algeria,14
Tunisia,Algeria,60
Ukraine,Algeria,1
Ukraine,Angola,38
Ukraine,Benin,1
United Kingdom,Algeria,1740
United Kingdom,Angola,1105
United States,Algeria,846
United States,Angola,134
United States,Benin,13
Yemen,Algeria,5
Yemen,Angola,2
Zambia,Angola,198154
Zimbabwe,Angola,74
