destination,origin,date,number
Thailand,Cambodia,1975,18830
Lao People's Dem. Rep.,Cambodia,1976,110
Thailand,Cambodia,1976,17090
Lao People's Dem. Rep.,Cambodia,1977,100
Malaysia,Cambodia,1977,1580
Thailand,Cambodia,1977,15030
Viet Nam,Cambodia,1977,60000
Lao People's Dem. Rep.,Cambodia,1978,120
Thailand,Cambodia,1978,15000
Viet Nam,Cambodia,1978,150000
Lao People's Dem. Rep.,Cambodia,1979,110
Malaysia,Cambodia,1979,580
Thailand,Cambodia,1979,15410
Viet Nam,Cambodia,1979,35000
Italy,Cambodia,1980,103
Japan,Cambodia,1980,90
Lao People's Dem. Rep.,Cambodia,1980,10370
Malaysia,Cambodia,1980,1880
Thailand,Cambodia,1980,147400
Viet Nam,Cambodia,1980,33000
Italy,Cambodia,1981,157
Japan,Cambodia,1981,220
Lao People's Dem. Rep.,Cambodia,1981,3500
Malaysia,Cambodia,1981,3400
Thailand,Cambodia,1981,97800
Viet Nam,Cambodia,1981,30000
Indonesia,Cambodia,1982,2610
Italy,Cambodia,1982,178
Japan,Cambodia,1982,370
Lao People's Dem. Rep.,Cambodia,1982,3500
Malaysia,Cambodia,1982,800
Philippines,Cambodia,1982,6030
Thailand,Cambodia,1982,83950
Viet Nam,Cambodia,1982,25960
Indonesia,Cambodia,1983,1360
Italy,Cambodia,1983,185
Japan,Cambodia,1983,540
Lao People's Dem. Rep.,Cambodia,1983,1260
Malaysia,Cambodia,1983,620
Philippines,Cambodia,1983,9470
Thailand,Cambodia,1983,56610
Viet Nam,Cambodia,1983,21070
Indonesia,Cambodia,1984,1000
Italy,Cambodia,1984,188
Lao People's Dem. Rep.,Cambodia,1984,1200
Malaysia,Cambodia,1984,110
Philippines,Cambodia,1984,7320
Thailand,Cambodia,1984,41650
Viet Nam,Cambodia,1984,21000
Indonesia,Cambodia,1985,670
Italy,Cambodia,1985,188
Malaysia,Cambodia,1985,6850
Philippines,Cambodia,1985,3050
Thailand,Cambodia,1985,31760
Viet Nam,Cambodia,1985,25000
Indonesia,Cambodia,1986,50
Italy,Cambodia,1986,188
Philippines,Cambodia,1986,660
Thailand,Cambodia,1986,26950
Viet Nam,Cambodia,1986,27000
Côte d'Ivoire,Cambodia,1987,50
Italy,Cambodia,1987,189
Lao People's Dem. Rep.,Cambodia,1987,80
Malaysia,Cambodia,1987,300
Thailand,Cambodia,1987,22970
Viet Nam,Cambodia,1987,25000
Côte d'Ivoire,Cambodia,1988,50
Indonesia,Cambodia,1988,80
Italy,Cambodia,1988,209
Malaysia,Cambodia,1988,160
Thailand,Cambodia,1988,17178
United States,Cambodia,1988,53081
Viet Nam,Cambodia,1988,27000
Denmark,Cambodia,1989,16
Indonesia,Cambodia,1989,72
Italy,Cambodia,1989,201
Thailand,Cambodia,1989,17230
United States,Cambodia,1989,35146
Viet Nam,Cambodia,1989,23060
Denmark,Cambodia,1990,16
Indonesia,Cambodia,1990,1811
Italy,Cambodia,1990,106
Philippines,Cambodia,1990,80
Sweden,Cambodia,1990,55
Thailand,Cambodia,1990,15097
United States,Cambodia,1990,16049
Viet Nam,Cambodia,1990,21150
Denmark,Cambodia,1991,24
Indonesia,Cambodia,1991,1687
Italy,Cambodia,1991,52
Spain,Cambodia,1991,2
Sweden,Cambodia,1991,20
Thailand,Cambodia,1991,14975
United States,Cambodia,1991,6260
Viet Nam,Cambodia,1991,20148
Denmark,Cambodia,1992,24
Indonesia,Cambodia,1992,576
Italy,Cambodia,1992,31
Netherlands,Cambodia,1992,95
Spain,Cambodia,1992,2
Sweden,Cambodia,1992,11
Thailand,Cambodia,1992,7128
United States,Cambodia,1992,4721
Viet Nam,Cambodia,1992,16263
Côte d'Ivoire,Cambodia,1993,109
Denmark,Cambodia,1993,24
Greece,Cambodia,1993,1
India,Cambodia,1993,1
Indonesia,Cambodia,1993,520
Italy,Cambodia,1993,24
Malaysia,Cambodia,1993,42
Netherlands,Cambodia,1993,95
Niger,Cambodia,1993,1
Philippines,Cambodia,1993,1
Spain,Cambodia,1993,3
Sweden,Cambodia,1993,10
Switzerland,Cambodia,1993,1855
Thailand,Cambodia,1993,67
United States,Cambodia,1993,1916
Viet Nam,Cambodia,1993,5084
Canada,Cambodia,1994,1520
Côte d'Ivoire,Cambodia,1994,115
Denmark,Cambodia,1994,24
Italy,Cambodia,1994,21
Netherlands,Cambodia,1994,95
Philippines,Cambodia,1994,1
Spain,Cambodia,1994,1
Sweden,Cambodia,1994,10
Switzerland,Cambodia,1994,1736
Thailand,Cambodia,1994,15
Viet Nam,Cambodia,1994,5000
Canada,Cambodia,1995,822
China,Cambodia,1995,30
Denmark,Cambodia,1995,24
France,Cambodia,1995,25344
Italy,Cambodia,1995,21
Namibia,Cambodia,1995,1
Netherlands,Cambodia,1995,95
New Zealand,Cambodia,1995,418
Spain,Cambodia,1995,2
Sweden,Cambodia,1995,10
Thailand,Cambodia,1995,3
United States,Cambodia,1995,55
Viet Nam,Cambodia,1995,34400
Australia,Cambodia,1996,1857
Belgium,Cambodia,1996,592
Canada,Cambodia,1996,495
China,Cambodia,1996,24
Denmark,Cambodia,1996,24
France,Cambodia,1996,24298
Indonesia,Cambodia,1996,1
Italy,Cambodia,1996,21
Namibia,Cambodia,1996,1
Netherlands,Cambodia,1996,104
New Zealand,Cambodia,1996,348
Spain,Cambodia,1996,2
Sweden,Cambodia,1996,10
United States,Cambodia,1996,67
Viet Nam,Cambodia,1996,34400
Australia,Cambodia,1997,1964
Belgium,Cambodia,1997,592
Botswana,Cambodia,1997,1
Canada,Cambodia,1997,283
China,Cambodia,1997,20
Côte d'Ivoire,Cambodia,1997,31
Denmark,Cambodia,1997,25
France,Cambodia,1997,22814
Italy,Cambodia,1997,20
Malaysia,Cambodia,1997,2
Namibia,Cambodia,1997,1
Netherlands,Cambodia,1997,102
New Zealand,Cambodia,1997,55
Niger,Cambodia,1997,6
Spain,Cambodia,1997,2
Sweden,Cambodia,1997,10
Thailand,Cambodia,1997,62235
United States,Cambodia,1997,82
Viet Nam,Cambodia,1997,15000
Zimbabwe,Cambodia,1997,1
Australia,Cambodia,1998,1942
Austria,Cambodia,1998,178
Belgium,Cambodia,1998,33
Canada,Cambodia,1998,126
Côte d'Ivoire,Cambodia,1998,31
Denmark,Cambodia,1998,11
France,Cambodia,1998,21364
Gabon,Cambodia,1998,4
Japan,Cambodia,1998,532
Malaysia,Cambodia,1998,1
Namibia,Cambodia,1998,4
Netherlands,Cambodia,1998,102
New Zealand,Cambodia,1998,5
Niger,Cambodia,1998,12
Spain,Cambodia,1998,2
Sweden,Cambodia,1998,10
Switzerland,Cambodia,1998,913
Thailand,Cambodia,1998,36075
United States,Cambodia,1998,231
Viet Nam,Cambodia,1998,15000
Australia,Cambodia,1999,1224
Austria,Cambodia,1999,177
Belgium,Cambodia,1999,153
Côte d'Ivoire,Cambodia,1999,31
Denmark,Cambodia,1999,23
France,Cambodia,1999,19731
Gabon,Cambodia,1999,4
Japan,Cambodia,1999,496
Niger,Cambodia,1999,18
Norway,Cambodia,1999,48
Spain,Cambodia,1999,2
Switzerland,Cambodia,1999,900
Thailand,Cambodia,1999,109
Ukraine,Cambodia,1999,1
United States,Cambodia,1999,409
Viet Nam,Cambodia,1999,15000
Australia,Cambodia,2000,615
Austria,Cambodia,2000,180
Belgium,Cambodia,2000,27
Canada,Cambodia,2000,64
Côte d'Ivoire,Cambodia,2000,34
Denmark,Cambodia,2000,24
France,Cambodia,2000,18126
Gabon,Cambodia,2000,4
Italy,Cambodia,2000,6
Japan,Cambodia,2000,376
Morocco,Cambodia,2000,6
Netherlands,Cambodia,2000,31
New Zealand,Cambodia,2000,2
Norway,Cambodia,2000,17
Slovakia,Cambodia,2000,3
Spain,Cambodia,2000,2
Sweden,Cambodia,2000,2
Switzerland,Cambodia,2000,815
Thailand,Cambodia,2000,117
Ukraine,Cambodia,2000,1
United States,Cambodia,2000,458
Viet Nam,Cambodia,2000,15945
Australia,Cambodia,2001,156
Austria,Cambodia,2001,42
Belgium,Cambodia,2001,78
Canada,Cambodia,2001,72
Côte d'Ivoire,Cambodia,2001,34
Denmark,Cambodia,2001,11
France,Cambodia,2001,16641
Gabon,Cambodia,2001,4
Greece,Cambodia,2001,8
Italy,Cambodia,2001,6
Japan,Cambodia,2001,310
Morocco,Cambodia,2001,6
Netherlands,Cambodia,2001,40
New Zealand,Cambodia,2001,9
Norway,Cambodia,2001,2
Slovakia,Cambodia,2001,3
Spain,Cambodia,2001,2
Sweden,Cambodia,2001,1
Switzerland,Cambodia,2001,783
Thailand,Cambodia,2001,92
Ukraine,Cambodia,2001,1
United States,Cambodia,2001,513
Viet Nam,Cambodia,2001,15945
Argentina,Cambodia,2002,24
Australia,Cambodia,2002,48
Austria,Cambodia,2002,32
Belgium,Cambodia,2002,47
Canada,Cambodia,2002,61
Côte d'Ivoire,Cambodia,2002,34
Denmark,Cambodia,2002,7
Finland,Cambodia,2002,3
France,Cambodia,2002,15439
Gabon,Cambodia,2002,1
Germany,Cambodia,2002,252
Greece,Cambodia,2002,1
Ireland,Cambodia,2002,13
Italy,Cambodia,2002,6
Japan,Cambodia,2002,179
Morocco,Cambodia,2002,6
Netherlands,Cambodia,2002,40
New Zealand,Cambodia,2002,16
Norway,Cambodia,2002,7
Spain,Cambodia,2002,2
Sweden,Cambodia,2002,2
Switzerland,Cambodia,2002,659
Thailand,Cambodia,2002,82
Ukraine,Cambodia,2002,1
United States,Cambodia,2002,549
Viet Nam,Cambodia,2002,15945
Argentina,Cambodia,2003,44
Australia,Cambodia,2003,27
Austria,Cambodia,2003,23
Belgium,Cambodia,2003,41
Canada,Cambodia,2003,57
Chad,Cambodia,2003,34
Côte d'Ivoire,Cambodia,2003,38
Denmark,Cambodia,2003,29
Finland,Cambodia,2003,4
France,Cambodia,2003,14303
Germany,Cambodia,2003,248
Greece,Cambodia,2003,1
Italy,Cambodia,2003,6
Japan,Cambodia,2003,85
Morocco,Cambodia,2003,6
Netherlands,Cambodia,2003,41
New Zealand,Cambodia,2003,17
Norway,Cambodia,2003,26
Spain,Cambodia,2003,1
Sweden,Cambodia,2003,2
Switzerland,Cambodia,2003,625
Thailand,Cambodia,2003,55
United States,Cambodia,2003,334
Viet Nam,Cambodia,2003,15360
Argentina,Cambodia,2004,51
Australia,Cambodia,2004,20
Austria,Cambodia,2004,21
Belgium,Cambodia,2004,33
Canada,Cambodia,2004,78
Côte d'Ivoire,Cambodia,2004,39
Denmark,Cambodia,2004,29
Finland,Cambodia,2004,32
France,Cambodia,2004,14097
Germany,Cambodia,2004,185
Greece,Cambodia,2004,1
Italy,Cambodia,2004,6
Japan,Cambodia,2004,88
Morocco,Cambodia,2004,6
Netherlands,Cambodia,2004,41
New Zealand,Cambodia,2004,18
Norway,Cambodia,2004,40
Poland,Cambodia,2004,1
Spain,Cambodia,2004,1
Sweden,Cambodia,2004,2
Switzerland,Cambodia,2004,601
Thailand,Cambodia,2004,70
United States,Cambodia,2004,301
Viet Nam,Cambodia,2004,2360
Argentina,Cambodia,2005,51
Australia,Cambodia,2005,23
Austria,Cambodia,2005,20
Belgium,Cambodia,2005,34
Botswana,Cambodia,2005,1
Canada,Cambodia,2005,82
Côte d'Ivoire,Cambodia,2005,39
Denmark,Cambodia,2005,28
Finland,Cambodia,2005,32
France,Cambodia,2005,13736
Germany,Cambodia,2005,181
Italy,Cambodia,2005,6
Japan,Cambodia,2005,103
Malaysia,Cambodia,2005,6
Netherlands,Cambodia,2005,41
New Zealand,Cambodia,2005,19
Norway,Cambodia,2005,57
Poland,Cambodia,2005,1
Sweden,Cambodia,2005,9
Switzerland,Cambodia,2005,576
Thailand,Cambodia,2005,89
United States,Cambodia,2005,315
Viet Nam,Cambodia,2005,2357
Argentina,Cambodia,2006,49
Australia,Cambodia,2006,15
Austria,Cambodia,2006,16
Belgium,Cambodia,2006,25
Cameroon,Cambodia,2006,6
Canada,Cambodia,2006,105
Côte d'Ivoire,Cambodia,2006,38
Denmark,Cambodia,2006,28
Finland,Cambodia,2006,33
France,Cambodia,2006,13514
Germany,Cambodia,2006,83
Italy,Cambodia,2006,6
Japan,Cambodia,2006,103
Malaysia,Cambodia,2006,5
Netherlands,Cambodia,2006,46
New Zealand,Cambodia,2006,12
Norway,Cambodia,2006,77
Poland,Cambodia,2006,1
Sweden,Cambodia,2006,9
Switzerland,Cambodia,2006,525
Thailand,Cambodia,2006,84
United States,Cambodia,2006,828
Viet Nam,Cambodia,2006,2357
Argentina,Cambodia,2007,49
Australia,Cambodia,2007,26
Austria,Cambodia,2007,13
Belgium,Cambodia,2007,29
Cameroon,Cambodia,2007,6
Canada,Cambodia,2007,182
Côte d'Ivoire,Cambodia,2007,19
Czech Rep.,Cambodia,2007,2
Denmark,Cambodia,2007,6
Finland,Cambodia,2007,7
France,Cambodia,2007,13370
Germany,Cambodia,2007,113
Ireland,Cambodia,2007,14
Italy,Cambodia,2007,6
Japan,Cambodia,2007,103
Malaysia,Cambodia,2007,10
Netherlands,Cambodia,2007,14
New Zealand,Cambodia,2007,10
Norway,Cambodia,2007,6
Poland,Cambodia,2007,1
Sweden,Cambodia,2007,7
Switzerland,Cambodia,2007,489
Thailand,Cambodia,2007,41
United States,Cambodia,2007,817
Viet Nam,Cambodia,2007,2357
Australia,Cambodia,2008,15
Austria,Cambodia,2008,6
Belgium,Cambodia,2008,18
Cameroon,Cambodia,2008,6
Canada,Cambodia,2008,179
Côte d'Ivoire,Cambodia,2008,22
Czech Rep.,Cambodia,2008,2
Denmark,Cambodia,2008,6
Finland,Cambodia,2008,7
France,Cambodia,2008,13195
Germany,Cambodia,2008,130
Ireland,Cambodia,2008,14
Italy,Cambodia,2008,6
Japan,Cambodia,2008,79
Malaysia,Cambodia,2008,14
Netherlands,Cambodia,2008,14
New Zealand,Cambodia,2008,10
Norway,Cambodia,2008,6
Poland,Cambodia,2008,1
Sweden,Cambodia,2008,7
Switzerland,Cambodia,2008,432
Thailand,Cambodia,2008,56
United States,Cambodia,2008,663
Viet Nam,Cambodia,2008,2357
Australia,Cambodia,2009,16
Austria,Cambodia,2009,5
Belgium,Cambodia,2009,16
Cameroon,Cambodia,2009,5
Canada,Cambodia,2009,174
Côte d'Ivoire,Cambodia,2009,23
Czech Rep.,Cambodia,2009,2
Denmark,Cambodia,2009,6
Finland,Cambodia,2009,7
France,Cambodia,2009,13122
Germany,Cambodia,2009,156
Ireland,Cambodia,2009,14
Italy,Cambodia,2009,0
Japan,Cambodia,2009,82
Malaysia,Cambodia,2009,13
Netherlands,Cambodia,2009,19
New Zealand,Cambodia,2009,10
Norway,Cambodia,2009,6
Poland,Cambodia,2009,0
Sweden,Cambodia,2009,7
Switzerland,Cambodia,2009,415
Thailand,Cambodia,2009,47
United States,Cambodia,2009,509
Viet Nam,Cambodia,2009,2357
Australia,Cambodia,2010,16
Austria,Cambodia,2010,1
Belgium,Cambodia,2010,13
Cameroon,Cambodia,2010,5
Canada,Cambodia,2010,161
Côte d'Ivoire,Cambodia,2010,25
Czech Rep.,Cambodia,2010,2
Denmark,Cambodia,2010,5
Finland,Cambodia,2010,7
France,Cambodia,2010,12956
Germany,Cambodia,2010,157
Ireland,Cambodia,2010,14
Italy,Cambodia,2010,1
Japan,Cambodia,2010,73
Malaysia,Cambodia,2010,26
Netherlands,Cambodia,2010,31
New Zealand,Cambodia,2010,10
Norway,Cambodia,2010,7
Russian Federation,Cambodia,2010,2
Sweden,Cambodia,2010,7
Switzerland,Cambodia,2010,398
Thailand,Cambodia,2010,30
United States,Cambodia,2010,426
Viet Nam,Cambodia,2010,1928
Australia,Cambodia,2011,22
Austria,Cambodia,2011,2
Azerbaijan,Cambodia,2011,1
Belgium,Cambodia,2011,13
Cameroon,Cambodia,2011,5
Canada,Cambodia,2011,174
Côte d'Ivoire,Cambodia,2011,26
Czech Rep.,Cambodia,2011,2
Denmark,Cambodia,2011,5
Finland,Cambodia,2011,4
France,Cambodia,2011,12818
Germany,Cambodia,2011,161
Ireland,Cambodia,2011,15
Italy,Cambodia,2011,1
Japan,Cambodia,2011,33
Malaysia,Cambodia,2011,26
Mexico,Cambodia,2011,1
Netherlands,Cambodia,2011,31
New Zealand,Cambodia,2011,3
Norway,Cambodia,2011,7
Sweden,Cambodia,2011,7
Switzerland,Cambodia,2011,389
Thailand,Cambodia,2011,45
United States,Cambodia,2011,403
Viet Nam,Cambodia,2011,990
Australia,Cambodia,2012,23
Austria,Cambodia,2012,1
Azerbaijan,Cambodia,2012,1
Belgium,Cambodia,2012,13
Botswana,Cambodia,2012,1
Cameroon,Cambodia,2012,5
Canada,Cambodia,2012,176
Côte d'Ivoire,Cambodia,2012,24
Czech Rep.,Cambodia,2012,2
Denmark,Cambodia,2012,1
Finland,Cambodia,2012,4
France,Cambodia,2012,12666
Germany,Cambodia,2012,164
Guatemala,Cambodia,2012,1
Ireland,Cambodia,2012,2
Italy,Cambodia,2012,1
Japan,Cambodia,2012,25
Malaysia,Cambodia,2012,27
Mexico,Cambodia,2012,0
Netherlands,Cambodia,2012,31
New Zealand,Cambodia,2012,3
Norway,Cambodia,2012,1
Sweden,Cambodia,2012,5
Switzerland,Cambodia,2012,376
Thailand,Cambodia,2012,84
United States,Cambodia,2012,356
Viet Nam,Cambodia,2012,0
Australia,Cambodia,2013,23
Austria,Cambodia,2013,1
Azerbaijan,Cambodia,2013,1
Belgium,Cambodia,2013,5
Botswana,Cambodia,2013,1
Cameroon,Cambodia,2013,5
Canada,Cambodia,2013,186
Côte d'Ivoire,Cambodia,2013,28
Czech Rep.,Cambodia,2013,2
Denmark,Cambodia,2013,1
Finland,Cambodia,2013,3
France,Cambodia,2013,12560
Germany,Cambodia,2013,26
Guatemala,Cambodia,2013,1
Ireland,Cambodia,2013,0
Italy,Cambodia,2013,1
Japan,Cambodia,2013,24
Liberia,Cambodia,2013,1
Malaysia,Cambodia,2013,27
Myanmar,Cambodia,2013,0
Netherlands,Cambodia,2013,31
New Zealand,Cambodia,2013,2
Norway,Cambodia,2013,1
Philippines,Cambodia,2013,13
Sweden,Cambodia,2013,5
Switzerland,Cambodia,2013,364
Thailand,Cambodia,2013,59
United States,Cambodia,2013,343
